beer,style,origin,originCountry,abv,method,city,region,country,cc,rating,isNew,month,monthN,year
Grolsch,Pilsner,NL,Netherlands,5,Bottle,Hengelo,Overijssel,Netherlands,NL,3.5,false,Jan,1,2026
Hertog Jan,Pilsner,NL,Netherlands,5.1,Bottle,Hengelo,Overijssel,Netherlands,NL,2,false,Jan,1,2026
Coors Light,Lager,US,USA,4.2,Can,New Rochelle,New York,USA,US,3,false,Jan,1,2026
Sapporo Premium,Lager,JP,Japan,4.9,Bottle,Hartsdale,New York,USA,US,3.5,false,Jan,1,2026
Kirin Ichiban,Lager,JP,Japan,5,Bottle,Hartsdale,New York,USA,US,3,false,Jan,1,2026
Modelo Especial,Lager,MX,Mexico,4.5,Bottle,White Plains,New York,USA,US,3.25,false,Jan,1,2026
Stella Artois,Lager,BE,Belgium,5,Bottle,Eastchester,New York,USA,US,2.75,false,Jan,1,2026
Duvel,Belgian Ale,BE,Belgium,8.5,Bottle,Amsterdam,Noord-Holland,Netherlands,NL,4.25,false,Jan,1,2026
Carlsberg,Pilsner,DK,Denmark,5,Draft,Montreal,Quebec,Canada,CA,3,false,Jan,1,2026
Harp Lager,Lager,IE,Ireland,4.5,Draft,Montreal,Quebec,Canada,CA,4.25,false,Jan,1,2026
Kronenbourg 1664,Lager,FR,France,5.5,Draft,Montreal,Quebec,Canada,CA,3,false,Jan,1,2026
Michelob Ultra,Lager,US,USA,4.2,Can,White Plains,New York,USA,US,2.5,false,Jan,1,2026
Red Stripe,Lager,JM,Jamaica,4.7,Bottle,Clemson,South Carolina,USA,US,3.75,false,Jan,1,2026
Heineken,Lager,NL,Netherlands,5,Draft,Uncasville,Connecticut,USA,US,3.25,false,Feb,2,2026
Guinness Draught,Stout,IE,Ireland,4.2,Nitro,Eastchester,New York,USA,US,4,false,Feb,2,2026
Weihenstephaner Hefeweissbier,Wheat Beer,DE,Germany,5.4,Bottle,New Rochelle,New York,USA,US,4.5,false,Feb,2,2026
Hofbräu Münchner Weiße,Wheat Beer,DE,Germany,5.1,Draft,New York,New York,USA,US,4.75,false,Feb,2,2026
Negra Modelo,Lager,MX,Mexico,5.4,Bottle,New Rochelle,New York,USA,US,3,false,Feb,2,2026
Hofbräu Dunkel,Lager,DE,Germany,5.5,Draft,New York,New York,USA,US,2.75,false,Feb,2,2026
Bud Light,Lager,US,USA,4.2,Bottle,East Rutherford,New Jersey,USA,US,3,true,Feb,2,2026
Budweiser,Lager,US,USA,5,Bottle,New York,New York,USA,US,3,true,Feb,2,2026
Corona Extra,Lager,MX,Mexico,4.5,Bottle,New Rochelle,New York,USA,US,3.75,false,Feb,2,2026
Birra Moretti,Lager,IT,Italy,4.6,Bottle,Sciara,Sicily,Italy,IT,3.75,true,Feb,2,2026
Erdinger Weißbier,Wheat Beer,DE,Germany,5.3,Bottle,New Rochelle,New York,USA,US,3.25,true,Feb,2,2026
Estrella Galicia,Lager,ES,Spain,5.5,Bottle,Madrid,Madrid,Spain,ES,4.25,true,Mar,3,2026
Pilsner Urquell,Pilsner,CZ,Czech Republic,4.4,Bottle,New Rochelle,New York,USA,US,3.25,true,Mar,3,2026
Wrench,IPA,US,USA,7.1,Can,New Rochelle,New York,USA,US,4,true,Mar,3,2026
La Fin Du Monde,Belgian Ale,CA,Canada,9,Bottle,Montreal,Quebec,Canada,CA,3.75,false,Mar,3,2026
Żywiec,Lager,PL,Poland,5.5,Bottle,New Rochelle,New York,USA,US,2.75,true,Mar,3,2026
Estrella Damm,Lager,ES,Spain,5.4,Bottle,Barcelona,Catalonia,Spain,ES,3.5,true,Mar,3,2026
Grolsch Puur Weizen,Wheat Beer,NL,Netherlands,5.1,Draft,Oldenzaal,Overijssel,Netherlands,NL,5,true,Mar,3,2026
Frisse Lentebok,Lager,NL,Netherlands,6.5,Bottle,Hengelo,Overijssel,Netherlands,NL,3.25,true,Mar,3,2026
Leffe Blonde,Belgian Ale,BE,Belgium,6.6,Draft,Nijmegen,Gelderland,Netherlands,NL,4.75,false,Mar,3,2026
Texels Skuumkoppe,Wheat Beer,NL,Netherlands,6,Bottle,Nijmegen,Gelderland,Netherlands,NL,3,true,Mar,3,2026
Affligem Tripel,Belgian Ale,BE,Belgium,9,Draft,Antwerp,Antwerp,Belgium,BE,3.75,true,Mar,3,2026
De Koninck,Pale Ale,BE,Belgium,5.2,Draft,Antwerp,Antwerp,Belgium,BE,2.75,true,Mar,3,2026
