name,location,country,cc,lang,nativeName,lat,lng,beers,ratings
Weihenstephaner,"Freising, Bavaria",Germany,DE,de,,48.3953,11.7291,Weihenstephaner Hefeweissbier,4.5
Hofbräu München,"Munich, Bavaria",Germany,DE,de,,48.1351,11.582,Hofbräu Münchner Weiße · Hofbräu Dunkel,4.75 · 2.75
Guinness (St. James's Gate),"Dublin, Leinster",Ireland,IE,en,,53.3418,-6.2868,Guinness Draught,4
Harp / Diageo,"Dundalk, County Louth",Ireland,IE,en,,54.0039,-6.3703,Harp Lager,4.25
Duvel Moortgat,"Puurs-Sint-Amands, Antwerp",Belgium,BE,nl,,51.0727,4.2897,Duvel,4.25
AB InBev (Stella),"Leuven, Flemish Brabant",Belgium,BE,nl,,50.8798,4.7005,Stella Artois,2.75
Heineken,"Amsterdam, Noord-Holland",Netherlands,NL,nl,,52.3578,4.8918,Heineken · Heineken Silver,3.25 · 3
Grolsch,"Enschede, Overijssel",Netherlands,NL,nl,,52.2215,6.8937,Grolsch · Grolsch Puur Weizen · Frisse Lentebok,3.5 · 5 · 3.25
Bavaria NV (Hertog Jan),"Arcen, Limburg",Netherlands,NL,nl,,51.4862,6.1741,Hertog Jan,2
Anheuser-Busch,"St. Louis, Missouri",USA,US,en,,38.6072,-90.2124,Michelob Ultra · Bud Light · Budweiser,2.5 · 3 · 3
Molson Coors,"Golden, Colorado",USA,US,en,,39.7555,-105.2211,Coors Light,3
Grupo Modelo,"Mexico City, CDMX",Mexico,MX,es,,19.4274,-99.1677,Modelo Especial · Negra Modelo · Corona Extra · Modelo Oro,3.25 · 3 · 3.75 · 3
Cervecería Estrella Jalisco,"Guadalajara, Jalisco",Mexico,MX,es,,20.6597,-103.3496,Estrella Jalisco,3.75
Carlsberg,"Copenhagen, Capital Region",Denmark,DK,da,,55.6614,12.5361,Carlsberg · Carlsberg Elephant,3 · 3.5
Unibroue,"Chambly, Quebec",Canada,CA,fr,,45.4412,-73.2615,La Fin Du Monde,3.75
Kronenbourg,"Obernai, Alsace",France,FR,fr,,48.4637,7.4845,Kronenbourg 1664,3
Sapporo Brewery,"Sapporo, Hokkaido",Japan,JP,ja,サッポロビール,43.0685,141.3544,Sapporo Premium,3.5
Kirin Brewery,"Yokohama, Kanagawa",Japan,JP,ja,キリン一番搾り,35.4634,139.622,Kirin Ichiban,3
Asahi Breweries,"Suita, Osaka",Japan,JP,ja,アサヒスーパードライ,34.7615,135.5158,Asahi Super Dry,3.5
Red Stripe (D&G),"Kingston, Surrey",Jamaica,JM,en,,17.9972,-76.7939,Red Stripe,3.75
Estrella Galicia,"A Coruña, Galicia",Spain,ES,es,,43.3623,-8.4115,Estrella Galicia,4.25
Pilsner Urquell,"Pilsen, Bohemia",Czech Republic,CZ,cs,Plzeňský Prazdroj,49.7479,13.3756,Pilsner Urquell,3.25
Birra Moretti (Heineken Italia),"Udine, Friuli-Venezia Giulia",Italy,IT,it,,46.064,13.235,Birra Moretti,3.75
Erdinger Weissbräu,"Erding, Bavaria",Germany,DE,de,,48.3063,11.9071,Erdinger Weißbier,3.25
Industrial Arts Brewing,"Garnerville, New York",USA,US,en,,41.2065,-74.0085,Wrench,4
Żywiec Brewery (Grupa Żywiec),"Żywiec, Silesia",Poland,PL,pl,,49.6853,19.1925,Żywiec,2.75
Birra Peroni,"Rome, Lazio",Italy,IT,it,,41.8902,12.4922,Peroni Nastro Azzurro · Chill Lemon · Peroni Original,3 · 4 · 3.25
S.A. Damm,"Barcelona, Catalonia",Spain,ES,es,,41.3897,2.154,Estrella Damm · Daura,3.5 · 3
Abbaye de Leffe (AB InBev),"Dinant, Namur",Belgium,BE,fr,,50.2611,4.9122,Leffe Blonde,4.75
Texelse Bierbrouwerij,"Oudeschild, North Holland",Netherlands,NL,nl,,53.0385,4.851,Texels Skuumkoppe,3
