city,region,country,cc,lat,lng
New York,New York,USA,US,40.7128,-74.006
New Rochelle,New York,USA,US,40.9115,-73.7826
White Plains,New York,USA,US,41.034,-73.7629
Eastchester,New York,USA,US,40.9565,-73.8115
Hartsdale,New York,USA,US,41.0215,-73.7987
Montreal,Quebec,Canada,CA,45.5017,-73.5673
Amsterdam,Noord-Holland,Netherlands,NL,52.3676,4.9041
Hengelo,Overijssel,Netherlands,NL,52.266,6.793
Uncasville,Connecticut,USA,US,41.4775,-72.0892
Queens,New York,USA,US,40.7282,-73.7949
Oldenzaal,Overijssel,Netherlands,NL,52.3107,6.928
Nijmegen,Gelderland,Netherlands,NL,51.8426,5.8528
Antwerp,Antwerp,Belgium,BE,51.2194,4.4025
Boston,Massachusetts,USA,US,42.3601,-71.0589
Stamford,Connecticut,USA,US,41.0534,-73.5387
Clemson,South Carolina,USA,US,34.6834,-82.8374
Barcelona,Catalonia,Spain,ES,41.3851,2.1734
Madrid,Madrid,Spain,ES,40.4168,-3.7038
Lagos,Algarve,Portugal,PT,37.1028,-8.6736
Sciara,Sicily,Italy,IT,37.9156,13.9344
East Rutherford,New Jersey,USA,US,40.8127,-74.0846
San Juan,San Juan,Puerto Rico,PR,18.4655,-66.1057
Washington,District of Columbia,USA,US,38.9072,-77.0369
Boynton Beach,Florida,USA,US,26.5253,-80.0664
Miami,Florida,USA,US,25.7617,-80.1918
Ischia,Campania,Italy,IT,40.7333,13.95
Capri,Campania,Italy,IT,40.5532,14.2222
Tarrytown,New York,USA,US,41.0762,-73.8593
