beer,style,abv,origin
Grolsch,Pilsner,5.0,NL
Grolsch Puur Weizen,Wheat Beer,5.1,NL
Hertog Jan,Pilsner,5.1,NL
Heineken,Lager,5.0,NL
Texels Skuumkoppe,Wheat Beer,6.0,NL
IJwit,Wheat Beer,6.5,NL
Coors Light,Lager,4.2,US
Michelob Ultra,Lager,4.2,US
Bud Light,Lager,4.2,US
Budweiser,Lager,5.0,US
Wrench,IPA,7.1,US
Sapporo,Lager,4.9,JP
Ichiban,Lager,5.0,JP
Modelo,Lager,4.5,MX
Modelo Negra,Lager,5.4,MX
Corona Extra,Lager,4.5,MX
Stella Artois,Lager,5.0,BE
Duvel,Belgian Ale,8.5,BE
Leffe Blonde,Belgian Ale,6.6,BE
Affligem Tripel,Belgian Ale,9.0,BE
Bolleke De Koninck,Pale Ale,5.2,BE
La Chouffe Blonde,Belgian Ale,8.0,BE
Carlsberg,Pilsner,5.0,DK
Harp,Lager,4.5,IE
Guinness,Stout,4.2,IE
La Fin Du Monde,Belgian Ale,9.0,CA
1664,Lager,5.5,FR
Red Stripe,Lager,4.7,JM
Weihenstephaner,Wheat Beer,5.4,DE
Münchner Weisse,Wheat Beer,5.1,DE
Munchen Dunkel,Lager,5.5,DE
Erdinger Weissbier,Wheat Beer,5.3,DE
Moretti,Lager,4.6,IT
Peroni,Lager,5.1,IT
Estrella Galicia,Lager,5.5,ES
Estrella Damm,Lager,5.4,ES
Pilsner Urquell,Pilsner,4.4,CZ
Żywiec,Lager,5.5,PL
Stiegl Goldbräu,Lager,5.0,AT
